Text,label
Ability to perform research in theatre history,Create
"Ability to situate digital literatures within changes in the broader contemporary book world, especially around digital technologies and eBooks;",Apply
Ability to structure sessionsThemeslabel Basic CBT competences,Create
Ability to use measures and self-monitoring to guide therapy and to monitor outcomeThemeslabel Basic CBT competences,Apply
"Ability to write process notes, report and refer problems experienced by the child client;",Create
Able to conduct scientific literature search related to a research topic in nutrition.,Apply
Able to effectively communicate the opinion drawn based on scientific evidence in oral and written formats.,Create
"Able to synthesise and interpret relevant material and to communicate ideas to others in a coherent manner, by either written or verbal means.",Evaluate
"Able to understand the major ideas concerning the evolution of the earth's landscape, its biota and climate patterns.",Understand
"Able to understand the present day distribution of the world's climate, biota, soils and landscapes with special emphasis on the African environment.",Understand
Able to undertake an independent field study of the natural environment and understand the problems associated with making field measurements of natural phenomena.,Understand
"Accept responsibility for and manage, implement and evaluate their personal and professional development and show a commitment to life-long learning.",Evaluate
"Access and analyze large genomics, transcriptomics and proteomics datasets using command line queries;",Analyze
Access and critically analyse sources of scientific information;,Analyze
"access and critically evaluate relevant policy and research relating to youth transitions through post-compulsory education and training, including pathways, employability and lifelong learning",Evaluate
Access and evaluate information needed appropriately;,Evaluate
Access and review scientific literature.,Evaluate
access literature that is relevant to your professional challenge and identify how the literature responds to it,Remember
"Access the Faculty computing resources, including access facilities with a clear understanding of appropriate health and safety studio procedures and implement these procedures within your work practice;",Understand
"Access the main sources of routinely collected health data and choose the appropriate one, taking into account their advantages and disadvantages.",Analyze
"access, adapt and develop materials and teaching activities and critically evaluate resources which meet the diverse needs and identities of EAL learners",Create
"account for the recording and reporting of inventory, applying the periodic and perpetual method as per issues raised in AASB 102/IAS 1",Apply
Accurately and clearly present experimental data in figures and/or tables with clear and logical descriptive commentary and appropriate statistical analysis,Create
Accurately and efficiently refer a childhood problem to multiple disciplines.,Analyze
Accurately apply the principles of quality assurance and quality control to hybrid imaging.,Apply
Accurately apply the principles of quality assurance and quality control to MRI imaging in the clinical context.,Apply
"Accurately assess and document injuries using notes, diagrams and photography.",Analyze
"Accurately conduct mental status, risk and other relevant assessments to help inform the provision of safe, high quality patient care",Analyze
"Accurately describe and report on injuries to the teeth, cranio-facial skeleton, and soft tissues of the face;",Evaluate
Accurately describe the principles of quality assurance and quality control used with multislice CT imaging.,Understand
Accurately distinguish between cardiac and vascular structures in the modification of standard MR scanning techniques,Analyze
Accurately distinguish between normal and abnormal appearances on multislice CT images of the head and neck.,Analyze
Accurately distinguish between normal and abnormal appearances on multislice CT images of the thorax and abdomen,Analyze
Accurately implement the principles of quality assurance measures and quality control relevant to MSCT and MRI imaging and artefacts.,Apply
Accurately interpret statistical methods and results reported in health publications;,Evaluate
Accurately interpret statistical methods and results reported in health publications.,Evaluate
"Accurately locate and critically assess research literature, with an emphasis on community-based emergency health;",Evaluate
Accurately perform common biomedical calculations used in research;,Apply
Accurately perform comprehensive health and physical assessment skills in simulated and clinical practice environments,Evaluate
"accurately read, understand and interpret a range of data commonly found within educational settings",Understand
"Accurately record, analyse and report experimental outcomes to a variety of audiences; ",Analyze
"Accurately record, analyse and report experimental outcomes;",Analyze
accurately summarise and succinctly evaluate articles written for professional philosophy journals in an in-class presentation;,Evaluate
"Achieve a holistic design, which demonstrates professional competence and cultural awareness;",Create
Acknowledge and critically examine the difference between white Australia's representational constructs of Indigenous people and the historic and contemporary realities of Australia's Indigenous peoples'.,Analyze
Acknowledge and critically examine the different forms of imperial and colonial intervention in the Pacific region;,Analyze
Acknowledge and critically examine the power and privilege of whiteness in contemporary Australian society.,Analyze
"Acknowledge Indigenous cultures, knowledge, and values; and;",Understand
acquire a basic understanding of the structure of the language;,Understand
Acquire a conceptual overview of digital journalism production and its functionality in the newsroom.,Apply
Acquire a conceptual overview of the art circuit and its functionality in the media industry.,Apply
"Acquire a detailed understanding of the theory and practice of the RtP doctrine, and the relevance of RtP and human rights theory in the contemporary European context;",Understand
acquire a historical understanding of current economic circumstances.,Understand
acquire a sound knowledge of issues surrounding the financing of international business,Understand
acquire a sound understanding of key theoretical and pedagogical perspectives and issues in the teaching of mathematics as a subject discipline in secondary schools in Australia and internationally,Understand
"acquire a sound understanding of key theoretical and pedagogical perspectives and issues in the teaching of music through professional experience, research and analysis",Understand
acquire a sound understanding of key theoretical and pedagogical perspectives and issues in the teaching of psychology,Understand
acquire a sound understanding of key theoretical and pedagogical perspectives and issues in the teaching of science,Understand
acquire a thorough understanding of how to access and acquire data through commonly used databases in banking and finance research,Understand
acquire a working knowledge of the main market and regulatory mechanisms for mitigating GHG emissions,Remember
acquire advanced knowledge and skills in understanding research articles,Remember
acquire advanced knowledge of the conceptual framework and disclosure requirements in accordance with the accounting standards and the statutory laws,Remember
"Acquire an advanced knowledge of legal research principles and methods, evidenced by their ability to locate, update and apply the law in their chosen area of research;",Understand
"acquire an in-depth understanding of economic concepts such as market efficiency, performance evaluation and market structure regulation",Understand
Acquire an orientation of expectations of child and youth care workers in the various child and youth development practice contexts,Apply
"acquire an understanding of climate change mitigation with respect to political, environmental, regulatory and economic impacts on business in the Australian and global context",Understand
Acquire an understanding of current archaeological methods and theories used in studying state formation.,Understand
acquire an understanding of holistic learning and teaching including the wide variety of learning and teaching strategies that support the connections between music theory and practice in developing a personal approach to teaching music.,Understand
acquire an understanding of the grammar of Middle Egyptian;,Understand
acquire an understanding of the grand theories that strive to explain business globalisation and the rules that govern this process,Understand
"acquire an understanding of the purpose, motivations and strategies of the United Nations System, regional organisations, civil society and multinational corporations",Understand
acquire an understanding of the theories and usage of International foreign exchange markets,Understand
acquire an understanding of the theory and processes of global governance,Understand
Acquire and analyse computer based data for graphical and tabular summarisation of findings;,Apply
Acquire and apply a basic knowledge of translation theory;,Apply
acquire and apply skills associated with the biophysical sub-discipline in physical activity and health contexts,Apply
Acquire and assess information and knowledge from scientific literature;,Apply
"acquire and comprehend the fundamental knowledge of the role of an engineer as a manager - skills, roles, styles, techniques, in the context of an organisation",Understand
Acquire and demonstrate a greater critical knowledge and understanding of modern and contemporary France and its culture;,Apply
"acquire and demonstrate team skills including planning, collaboration, problem-solving, decision-making, communication and presentation skills.",Apply
Acquire and incorporate audio and music tracks within a video source;,Apply
Acquire and optimise experimental data,Apply
Acquire basic culinary skills and knowledge in food preparation.,Apply
acquire computer skills vital for forecasting business and economic data,Apply
acquire computer skills vital for forecasting business and economic data.,Apply
Acquire construction management skill including project planning and risk assessment,Apply
acquire effective academic presentation and writing skills,Apply
acquire essential skills for managing foreign exchange risk,Apply
acquire experiential knowledge on experimental studies through laboratory activity.,Apply
"Acquire footage, incorporate graphics and manage a variety of media sources into a video sequence;",Apply
acquire high-level analytical legal skills and apply them to a research project on a business law topic of their choice,Apply
acquire in depth knowledge and a critical interest in a selected business law area,Apply
Acquire information from scientific resources and demonstrate team work and communication skills in their learning.,Apply
acquire knowledge of contemporary issues in asset pricing and investments,Remember
acquire knowledge of contemporary issues in corporate finance and governance,Remember
acquire knowledge of contemporary issues in financial institution research,Remember
acquire knowledge of empirical findings in corporate finance,Remember
acquire knowledge of empirical findings in corporate finance and financial intermediation,Remember
acquire knowledge of formulating relevant research questions addressing corporate and bank level policies,Remember
acquire knowledge of the application of the case study method of study.,Remember
Acquire practical counselling experience by learning in the field.,Apply
"acquire practical research skills including the ability to work in groups of diverse cultural and social backgrounds and investigate academic, institutional and public media sources",Apply
acquire practical skills and knowledge for supporting change within an organisation towards sustainable practice,Apply
acquire practical skills and knowledge for supporting strategic change within a business towards sustainable practice,Apply
acquire proficiency in handling optimisation problems and have a basic understanding of general equilibrium analysis.,Understand
acquire qualitative and quantitative skills and knowledge on fixed income securities,Apply
Acquire research data that can be appropriately analysed and used as the basis for answering research questions and testing research hypotheses;,Analyze
acquire skills in solving equations and applying them to problems arising in business,Apply
Acquire skills in the constructive approach to complex situations with competing ethical issues.,Understand
acquire skills to conduct high quality independent qualitative research,Apply
acquire skills to design qualitative research studies,Create
acquire skills to work with key stakeholders (e.g. parents and paraprofessionals),Apply
"Acquire some basic skills in obtaining, interpreting and presenting scientific data.",Evaluate
Acquire sound knowledge of how new media technologies are changing PR practices;,Remember
Acquire specific skills relevant to their research project;,Understand
"acquire team skills including team leadership, collaboration, problem-solving, decision-making, communication and presentation skills",Understand
Acquire the ability to write original Yiddish sentences and paragraphs.,Create
Acquire the ability to write original Yiddish sentences.,Create
acquire the basis for more advanced studies in economics,Remember
Acquire the essential skills required for Yiddish conversation.,Understand
"acquire the skills necessary to derive Bayesian results analytically, in simple models",Understand
"Acquire, critically analyse and communicate complex scientific ideas and information.",Analyze
"Acquire, manipulate and interpret physical data and write scientific reports at a level suitable for publication.",Evaluate
"Acquire, synthesise and critically analyse relevant primary research literature to answer questions in evolutionary ecology;",Analyze
Acquired a general understanding of the relationship between regulation and the other principal activities of government;,Understand
"Acquired a greater critical knowledge and understanding of modern and contemporary French society, its culture, values and their evolution.",Understand
Acquired a sense of the scope of film studies.,Apply
"Acquired an understanding of a number of theories, concepts and constructs that explain regulatory practice in a modern liberal capitalist society;",Understand
Acquired an understanding of the context of the delivery of the service and the particular function it serves to the individual and the community at large;,Understand
Acquired an understanding of the policy cycle and the challenges facing governments and regulators when deciding whether and how to regulate a particular issue;,Understand
"Acquired knowledge about the challenges to cultural nationalism by transnational cultural flows, and the role of electronic media, especially the Internet in this;",Remember
"Acquired knowledge of the problem of unjustifiable discrimination and its Australian social context, and of anti-discrimination laws and their application and interpretation",Evaluate
"Acquired the capacity to apply a number of regulatory theories, concepts and constructs to analyse a basic regulatory regime to identify its key elements and institutional characteristics;",Apply
"Act in a responsible, safe and ethical manner and apply these principles to practice;",Apply
"Act in a responsible, safe and ethical manner and apply these principles to practice.",Apply
actively demonstrate basic competencies in practical and creative components of one or more of the specific creative arts disciplines as they apply to teaching and learning,Apply
actively demonstrate competencies in practical and creative components of one or more of the specific creative arts disciplines as they apply to teaching and learning,Apply
Actively demonstrate competencies in practical components,Apply
Actively design collaborative modes of problem solving in a group project task;,Create
Actively participate in class discussions and make use of feedback to strengthen knowledge of key issues.,Apply
actively participate in professional conversations and debates about issues pertinent to English education,Evaluate
Actively seek out and act upon constructive feedback.,Evaluate
"Adapt and apply the core principles of intensive care nursing to specialist patient populations (e.g. patient with multiple trauma, burns, paediatrics, pregnancy).",Apply
Adapt and implement an intervention plan that accounts for common practice challenges in the broader structural and cultural systems found in the contemporary Australian context including Aboriginal and Torres Strait Islander populations.,Apply
Adapt experiential knowledge and skills in diverse outdoor education contexts,Apply
Adapt experiential knowledge and skills in diverse outdoor environmental contexts,Apply
Adapt knowledge of cultural diversity and apply principles of culturally responsive practice.,Apply
Adapt legal project lifecycle frameworks to differentiate from other legal professionals.,Apply
"adapt the knowledge and skills learnt throughout the unit to the planning, management and presentation of a school musical production",Apply
"adapt to a variety of different cultural and professional environments,",Apply
Adapt your practices and communication to address the rise of misinformation in a changing landscape.,Apply
additional learning outcome for language students: apply specialist language in relation to cultural studies in the target language.,Apply
address an open-ended industrial problem by designing solutions that meet specified objectives,Understand
Address an open-ended problem by designing a solution and validate the solution using lab-scale equipment.,Understand
Address appropriate output considerations for the assembly and preparation a digital video/audio production;,Understand
address current issues faced by these stakeholders and the resolution to these issues,Understand
address key research questions,Understand
"Address modern manufacturing philosophies, such as lean production systems, agile and virtual manufacturing systems and improve the quality and productivity of the manufacturing systems.",Understand
Address performance improvement opportunities identified by industry supervisors and self-assess opportunities for personal development;,Understand
Address performance improvement opportunities identified by industry supervisors;,Understand
Address personal learning needs through critical reflection of gaps in skills and knowledge.,Understand
"address practical issues such as guarantees and options, risk classification and the effects of the pricing and reserving basis on the emergence of profit",Understand
"address practical issues such as guarantees and options, risk classification and the effects of the pricing and reserving basis on the emergence of profit.",Understand
Address practicalities of research project management.,Understand
Address research questions in the digital humanities which require non-textual data;,Understand
"Address specifics of site characteristics in layout, conditions, planning, equipment/technology selection, reclamation with life-cycle analysis considerations suitable for developing a feasibility report.",Understand
"Address the academic debates in relation to ethnoecology from the school of thought which places cognition at the forefront of this discipline to those that believe other issues such as culture, time and concepts such as tradition and religion also influence people and their relationship to the environment. ",Understand
"Address the academic debates in relation to ethnoecology from the school of thought which places cognition at the forefront of this discipline to those that believe other issues such as culture, time and concepts such as tradition and religion also influence people and their relationship to the environment",Understand
Address the complexities of team dynamics.,Understand
Address the fundamentals of kinematics and kinetics of particles and rigid bodies.,Understand
"Address the interaction between, often conflicting, requirements in the design of airframes i.e. aerodynamics, avionics and propulsion.",Understand
Address the issues and challenges of managing very large collections of heterogeneous data for information retrieval;,Understand
Address the issues and challenges of managing very large collections of heterogeneous data for information retrieval;,Understand
Address the way in which damage tolerant design fits into JSSG 20,Understand
adjust and apply personal cross-cultural competence to culturally diverse settings.,Apply
Adopt a questioning and critical approach in all aspects of practice and evaluate practice on an on-going basis.,Evaluate
"adopt a reflective approach and effectively enact a range of inclusive planning, performing, sharing and teaching strategies to demonstrate understanding of The Arts curriculum documents",Apply
"adopt a reflective approach and enact a range of creative planning, performing and teachingstrategies",Apply
"adopt a reflective approach and enact a range of inclusive planning, performing, sharing and teaching strategies",Apply
adopt a reflective approach and enact a range of rhythmic and expressive movement planning and teaching strategies to meet the needs of diverse learners,Apply
adopt and enact a reflective approach to continuous professional development as a professional drama educator.,Apply
"Adopt applicable processes, methods and an open attitude towards inquiry and experimentation;",Apply
adopt sound ethical principles that underpin monitoring and evaluation;,Apply
"Adopt the principles of life-long learning, including demonstration of reflective practice and the ability to apply educational, research or clinical theories to inform professional change when  required.",Apply
Advance our understanding of an existing problem or problems in the chosen area for original research.,Apply
Advance sustained critical arguments in relation to a specialised topic;,Analyze
Advanced skills in the use of computer-aided drafting and design (CAD),Apply
Advanced undergraduate-level skills in the reading and interpretation of literary texts.,Evaluate
Advise a company or other organisation on its obligations regarding the selection and introduction of a 'Safety Management System'.,Create
"Advise healthcare professionals and consumers on the changes in physiology and pathophysiology in older patients, and how this impacts the quality use of medicines in this population.",Create
Advocacy: Describe advocacy for equitable outcomes and social justice in regard to Aboriginal and Torres Strait Islander Health,Understand
advocate the role of marketing and a marketing orientation within organisations,Understand
"align methodologies for linguistic analysis (quantitative, qualitative, or mixed) to research questions.",Apply
"An ability at advanced level to analyse and evaluate arguments, and to understand critical approaches relating to the communication industries and communication issues;",Analyze
"An ability to apply these concepts, principles, legislation and policy to concrete situations",Apply
An ability to be able to articulate independent views on the topics covered in the unit.,Evaluate
"An ability to communicate, orally and in a written form, their understanding of these theories and concepts.",Apply
An ability to conduct independent research in air and space law and convey the results of this and the above objectives both orally and in writing.,Apply
An ability to contribute in a constructive way to public debates in areas such as social alienation and its relationship to violence; the ethics of using violence to resolve conflicts; the limits of legal and acceptable political action.,Evaluate
"An ability to design, write and edit a research thesis;",Create
"An ability to discuss particular examples of Asian Cinema and Television texts in ways that show some understanding of generic considerations, cultural differences and historical specificity;",Understand
An ability to evaluate theories of crime and their applicability to contemporary society;,Evaluate
"An ability to experiment with a range of writing structures and techniques, and to assess these writing strategies in terms of their effectiveness and creativeness;",Evaluate
An ability to identify the kind of digital information and software most appropriate to solving different geological problems.,Analyze
An ability to situate the intersections between art and philosophy within their historical context;,Analyze
An ability to use the terminology of aesthetic philosophy with confidence;,Apply
An acquaintance with and critical appreciation of the range of alternatives to commercial litigation,Understand
An acquaintance with the considerable body of knowledge that has been built up about late medieval and Renaissance Florence (in the context of Italian history in general),Understand
"An advanced ability to produce a new work, in either poetry, fiction or literary non-fiction.",Create
"An advanced understanding of design procedures and to develop discernment of good and poor design. Approaches to design, innovative versus incremental design, robust design. Design criteria, costing of materials and manufacture, and manufacturing technique",Understand
"An appreciation of the complexities, problems, anomalies, and challenges that diplomatic negotiations undergo",Understand
An appreciation of the discipline of Politics.,Understand
"an appreciation of the history, philosophy and practice of empirical research in Sociology and Anthropology;",Understand
"An appreciation of the history, philosophy and practice of qualitative social research;",Understand
an appreciation of the issues and the agencies involved in rebuilding states and societies after genocide and conflict,Understand
an appreciation of the meaning and role of both ethics and reflexivity in social research;,Understand
An appreciation of the theoretical understandings of the shift from government to governance in respect of the environment and sustainability.,Understand
An appreciation of the various fluid transport mechanisms in micro/nano channels or devices and physical interaction mechanisms in solids at the micro/nano scale,Understand
An appropriate level of understanding of a range of theoretical orientations to human behaviour,Understand
"an awareness of some of the key issues, debates and controversies associated with conducting social research, and an appreciation of the complexity of conducting such research;",Evaluate
"An awareness of the culture of development organisations, institutions and practitioners;",Understand
An awareness of the role and function of the State and of the core political institutions that support its operations;;,Understand
"An embodied understanding of the basic performance elements of movement, dynamic interaction/ensemble work, space, image and composition",Understand
An enhanced ability to conduct independent research and critically engage with research findings;,Apply
"An enhanced capacity to analyse and evaluate arguments, and to understand critical approaches to the planning, writing and editing of a research topic;",Analyze
An enhanced capacity to formulate and research communication issues;,Create
"An improved ability to formulate hypotheses, select appropriate tests, interpret findings, integrate findings to respond to referral questions and formulate a management plan for a variety of neuropsychological referrals and discuss this with the class;",Evaluate
An in-depth knowledge of changes that post-Mao reform has brought to intellectual trends in general and to literature in particular (through critical analysis of a range of literary works by a younger and unorthodox generation of Chinese writers who challenge traditional Chinese literary norms through their exploration of fundamental issues of humanism);,Understand
An in-depth knowledge of changes that post-Mao reform has brought to intellectual trends in general and to literature in particular (through critical analysis of a range of literary works by a younger and unorthodox generation of Chinese writers who challenge traditional Chinese literary norms through their exploration of fundamental issues of humanism),Understand
An in-depth knowledge of one of the major theoretical approaches to personality and its connections to other disciplines.,Understand
"An in-depth knowledge of the relationship between design, manufacture and material selection",Understand
An informed theoretical critique of how dominant Western ideas of criminological theory and research might/might not apply in Asian countries.,Understand
An informed theoretical critique of how gender and sexuality is constituted in popular culture;,Evaluate
An informed theoretical critique of how masculinity is constituted in society,Evaluate
An informed understanding of contemporary critical and theoretical approaches to travel,Understand
"An informed understanding of how gender is constructed in society, the media and the criminal justice system, particularly from an African perspective.",Understand
An informed understanding of some key approaches to modernist literature;,Understand
An informed understanding of some key critical and theoretical approaches to the study and analysis of literature;,Understand
"An introductory understanding of how politically motivated violence challenges established domestic and international political norms; especially in areas of citizenship, state surveillance and international cooperation between states;",Understand
"an introductory understanding of the cultural, economic, social and religious circumstances that lie behind the spread of politically motivated violence; b. how terrorism is a unique form of political violence, yet one that shares some features, objectives and tactics of guerrilla warfare, organized crime and political assassination.",Understand
An introductory understanding of violent extremist networks and extremist groups and how these networks and groups impact upon national and international security;,Understand
An opportunity to demonstrate their ability to work with state-of-the-art geological data sets in digital form.,Apply
An opportunity to develop team work skills.,Create
an organisation'global business strategy and develop recommendations.,Create
an organisation's marketing strategy and develop recommendations,Create
an organisation's strategy and develop recommendations,Create
an organisation's use of business analytics and develop recommendations,Create
An understanding applied theatre in theory and application,Understand
an understanding of a range of empirical methods and data analysis techniques used in social research;,Understand
"An understanding of a range of practices and techniques in contemporary writing through reading, analysis and practice;",Understand
An understanding of contemporary debates relevant to global criminal justice issues from an African perspective;,Understand
An understanding of development theories and models;,Understand
An understanding of economic analysis as a key tool in explaining and understanding the disparate levels of wealth observed in the modern world,Understand
An understanding of event marketing and communication techniques and the implications of contemporary digital technologies;,Understand
An understanding of event research techniques;,Understand
"An understanding of global inequalities and how these impact on different groups of people, especially in the African context;",Understand
An understanding of how an events strategy can be developed within a broader destination marketing strategy.,Understand
"An understanding of how development has affected particular cultures and places, with an emphasis on the continent of Africa;",Understand
An understanding of how sociologists understand the link between the individual and society;,Understand
An understanding of how structural factors influence the ways in which people experience everyday life;,Understand
"An understanding of how trauma operates as both an internal psychological experience and as an external, social, and global phenomenon.",Understand
An understanding of Jewish responses to the Holocaust across Europe,Understand
"An understanding of key historical, social, cultural, and economic dimensions of the crime and justice context relevant to the Asia region;",Understand
An understanding of key issues facing the future development of the industry in emerging economies;,Understand
